"Series";"Time";"Value"
"COPropertyHelper";"2019-12-06T10:00:00+05:30";1
"COPropertyHelper";"2019-12-06T10:05:00+05:30";1
"COPropertyHelper";"2019-12-06T10:11:00+05:30";1
"COPropertyHelper";"2019-12-06T10:18:00+05:30";1
"COPropertyHelper";"2019-12-06T10:23:00+05:30";1
"COPropertyHelper";"2019-12-06T10:26:00+05:30";1
"COPropertyHelper";"2019-12-06T10:27:00+05:30";1
"COPropertyHelper";"2019-12-06T10:29:00+05:30";1
"CORSFilter";"2019-12-06T09:35:00+05:30";1
"CORSFilter";"2019-12-06T09:36:00+05:30";1
"CORSFilter";"2019-12-06T09:37:00+05:30";3
"CORSFilter";"2019-12-06T09:38:00+05:30";1
"CORSFilter";"2019-12-06T09:40:00+05:30";6
"CORSFilter";"2019-12-06T09:41:00+05:30";2
"CORSFilter";"2019-12-06T09:42:00+05:30";4
"CORSFilter";"2019-12-06T09:43:00+05:30";2
"CORSFilter";"2019-12-06T09:44:00+05:30";3
"CORSFilter";"2019-12-06T09:45:00+05:30";2
"CORSFilter";"2019-12-06T09:47:00+05:30";1
"CORSFilter";"2019-12-06T09:48:00+05:30";1
"CORSFilter";"2019-12-06T09:50:00+05:30";2
"CORSFilter";"2019-12-06T09:52:00+05:30";5
"CORSFilter";"2019-12-06T09:53:00+05:30";1
"CORSFilter";"2019-12-06T09:54:00+05:30";3
"CORSFilter";"2019-12-06T09:56:00+05:30";1
"CORSFilter";"2019-12-06T09:58:00+05:30";1
"CORSFilter";"2019-12-06T09:59:00+05:30";1
"CORSFilter";"2019-12-06T10:01:00+05:30";1
"CORSFilter";"2019-12-06T10:02:00+05:30";2
"CORSFilter";"2019-12-06T10:03:00+05:30";4
"CORSFilter";"2019-12-06T10:05:00+05:30";1
"CORSFilter";"2019-12-06T10:06:00+05:30";1
"CORSFilter";"2019-12-06T10:08:00+05:30";1
"CORSFilter";"2019-12-06T10:11:00+05:30";3
"CORSFilter";"2019-12-06T10:12:00+05:30";1
"CORSFilter";"2019-12-06T10:14:00+05:30";1
"CORSFilter";"2019-12-06T10:16:00+05:30";4
"CORSFilter";"2019-12-06T10:19:00+05:30";5
"CORSFilter";"2019-12-06T10:20:00+05:30";2
"CORSFilter";"2019-12-06T10:22:00+05:30";1
"CORSFilter";"2019-12-06T10:23:00+05:30";1
"CORSFilter";"2019-12-06T10:24:00+05:30";3
"CORSFilter";"2019-12-06T10:27:00+05:30";2
"CORcmAgencyCandidateMapper";"2019-12-06T09:45:00+05:30";4
"CORcmAgencyCandidateMapper";"2019-12-06T09:46:00+05:30";2
"CORcmAgencyCandidateMapper";"2019-12-06T09:50:00+05:30";1
"CORcmApplicationEntityMapper";"2019-12-06T09:40:00+05:30";3
"CORcmApplicationEntityMapper";"2019-12-06T09:45:00+05:30";3
"CORcmApplicationEntityMapper";"2019-12-06T09:50:00+05:30";3
"CORcmApplicationEntityMapper";"2019-12-06T09:51:00+05:30";1
"CORcmApplicationEntityMapper";"2019-12-06T09:53:00+05:30";1
"CORcmApplicationEntityMapper";"2019-12-06T09:55:00+05:30";3
"CORcmApplicationEntityMapper";"2019-12-06T09:56:00+05:30";1
"CORcmApplicationEntityMapper";"2019-12-06T09:57:00+05:30";2
"CORcmApplicationEntityMapper";"2019-12-06T09:58:00+05:30";8
"CORcmApplicationEntityMapper";"2019-12-06T09:59:00+05:30";15
